smiles,HOMO(eV),LUMO(eV),hole mobility,electron mobility,uC*,dimers1,DOI
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CCCC[N+](CCCC)(CCCC)CCCC,,,1.30E-03,,5.5,['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/adma.201403150
S1C2C(C=C1[Cs])=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,-4.9,-2.72,1.00E-03,,,"['COC1=C2C(SC(C(S3)=CC4=C3C(OC)=C5C(SC=C5)=C4OC)=C2)=C(OC)C6=C1SC=C6','COC1=C2C(SC(C(S3)=CC4=C3C(OC)=C5C(SC=C5)=C4OC)=C2)=C(OC)C6=C1SC=C6']",https://doi.org/10.1021/jacs.6b05280
S1C2C(C=C1C1SC([Cs])=CC=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,-4.83,-2.71,1.00E-03,,,"['COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4']",https://doi.org/10.1021/jacs.6b05280
S1C2C(C=C1C1SC(C3=CC=C([Cs])S3)=CC=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,-4.92,-2.85,9.00E-03,,,"['COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','COC1=C2C(SC(C3=CC=CS3)=C2)=C(OC)C4=C1SC=C4','C1(C2=CC=CS2)=CC=CS1']",https://doi.org/10.1021/jacs.6b05280
S1C2C(C=C1C1SC(C3=C(OCCOCCOCCOC)C=C([Cs])S3)=C(OCCOCCOCCOC)C=1)=C(OCCOCCOCCOC)C1=C(C=C([Fr])S1)C=2OCCOCCOCCOC,-4.43,-2.55,1.00E-02,,4.8,"['COC1=CSC(C(SC2=C(OC)C3=C4SC=C3)=CC2=C4OC)=C1','COC(C=CS1)=C1C(SC=C2)=C2OC','COC1=CSC(C(SC2=C(OC)C3=C4SC=C3)=CC2=C4OC)=C1']",https://doi.org/10.1021/jacs.6b05280
C([Fr])1SC(C2=C(OCCOCCOCCOC)C=C(C3SC([Cs])=CC=3)S2)=C(OCCOCCOCCOC)C=1,-4.38,-2.65,2.80E-01,,167,"['COC(C=CS1)=C1C(SC=C2)=C2OC','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/jacs.6b05280
O(CCOCCOCCOC)C1C=C(C2=CC3SC([Cs])=CC=3S2)SC=1C1=C(OCCOCCOCCOC)C=C([Fr])S1,-4.4,,1.27E+00,,261,"['COC1=C(C2=C(C=CS2)OC)SC=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1','COC1=CSC(C2=CC3=C(S2)C=CS3)=C1']",https://doi.org/10.1073/pnas.1608780113
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CCCC[N+](CCCC)(CCCC)CCCC,-5.52,,8.18E-09,,4.09E-08,['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/macp.201700374
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.CC[N+](CC)(CC)CC,-5.5,,8.21E-09,,1.81E-07,['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/macp.201700374
[Cs]C1=C(CCCCCCS([O-])(=O)=O)C=C([Fr])S1.C[N+](C)(C)C,-5.43,,2.67E-07,,2.19E-09,['CC1=CSC(C2=C(C)C=CS2)=C1'],https://doi.org/10.1002/macp.201700374
COCCOCCOCCOCC1(COC2=C(C3=C4OCC(C)(C)COC4=C([Cs])S3)SC([Fr])=C2OC1)COCCOCCOCCOC,,,6.30E-02,,6.99E+00,"['CC1(COC2=C(C3=C4OCC(C)(C)COC4=CS3)SC=C2OC1)C','CC1(COC2=C(C3=C4OCC(C)(C)COC4=CS3)SC=C2OC1)C']",https://doi.org/10.1002/adma.201804647
[Fr]C1=C(COCCOCCOC)C=C([Cs])S1,,,2.81E-01,,4.91E+01,"['CC1=C(C2=CC(C)=CS2)SC=C1','CC1=C(C2=CC(C)=CS2)SC=C1']",https://doi.org/10.1021/jacs.8b12640
C(OC1=C(C2SC([Fr])=CC=2OCCCCCCCCCCCCCC)SC(C2SC3=C(C=2)SC([Cs])=C3)=C1)CCCCCCCCCCCCC,-4.73,,5.20E-05,,9.88E-04,"['COC(C=CS1)=C1C2=C(C=CS2)OC','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1']",https://doi.org/10.1002/adfm.201907657
O(C1C=C([Fr])SC=1C1=C(OCCCOCCCOCCCOC)C=C(C2=CC3=C(S2)C=C([Cs])S3)S1)CCCOCCCOCCCOC,-4.52,,5.50E-01,,1.63E+02,"['COC(C=CS1)=C1C2=C(C=CS2)OC','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1']",https://doi.org/10.1002/adfm.201907657
O(C1=C(C2SC([Fr])=CC=2OCCOCCOCCOCCOCCOCCCOC)SC(C2=CC3=C(S2)C=C([Cs])S3)=C1)CCOCCOCCOCCOCCOCCOC,-4.53,,7.00E-02,,1.62E+01,"['COC(C=CS1)=C1C2=C(C=CS2)OC','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1','COC1=CSC(C2=CC3=C(C=CS3)S2)=C1']",https://doi.org/10.1002/adfm.201907657
O(CCOCCOC)C1C=C([Fr])SC=1[Cs],-4.5,,,,0.05,['COC1=C(C2=CC(OC)=CS2)SC=C1'],https://doi.org/10.1021/acsami.9b21604
O(CCOC)CCOCC1C=C([Fr])SC=1[Cs],-4.7,,,,10.9,['COC1=C(C2=CC(OC)=CS2)SC=C1'],https://doi.org/10.1021/acsami.9b21604
O(CCOC)CCOCCC1C=C([Fr])SC=1[Cs],-4.66,,,,12.9,['COC1=C(C2=CC(OC)=CS2)SC=C1'],https://doi.org/10.1021/acsami.9b21604
O=C1C2C(C(N(CCOCCOCCOCCOCCOCCOCCOC)C=2C2=NC=C(C3=CC(OC)=C(C4SC([Cs])=CC=4OC)S3)C=C2)=O)=C(C2=CC=C([Fr])C=N2)N1CCOCCOCCOCCOCCOCCOCCOC,-5,-3.6,0.037,,2.22,"['COC(C=CS1)=C1C2=C(OC)C=CS2','COC1=CSC(C2=CN=CC=C2)=C1','O=C1C(C2=CN1C)=C(C3=NC=CC=C3)N(C)C2=O','O=C1C(C2=CN1C)=C(C3=NC=CC=C3)N(C)C2=O','COC1=CSC(C2=CN=CC=C2)=C1']",https://doi.org/10.1002/adma.201908047
O(CCOCCOCCOC)C1C=C(C2=CC=C([Cs])S2)SC=1C1=C(C=C([Fr])S1)OCCOCCOCCOC,-4.57,,1.00E-04,,11,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/acs.chemmater.0c02041
O(CCOCCOCCOCCOC)C1C=C(C2=CC=C([Cs])S2)SC=1C1=C(C=C([Fr])S1)OCCOCCOCCOCCOC,-4.64,,0.17,,144,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/acs.chemmater.0c02041
O(CCOCCOCCOCCOCCOCCOC)C1C=C(C2=CC=C([Cs])S2)SC=1C1=C(C=C([Fr])S1)OCCOCCOCCOCCOCCOCCOC,-4.66,,0.07,,62,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC=CS2)=C1','COC1=CSC(C2=CC=CS2)=C1']",https://doi.org/10.1021/acs.chemmater.0c02041
O(CCOCCOCCOC)C1=C(SC(C2=CC(=C(S2)C2SC([Fr])=CC=2OCCOCCOCCOC)OCCOCCOCCOC)=C1)C1SC([Cs])=CC=1OCCOCCOCCOC,-4.46,-2.81,1,,161,"['COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1','COC1=C(C2=C(OC)C=CS2)SC=C1','COC1=CSC(C2=CC(OC)=CS2)=C1']",https://doi.org/10.1002/adma.202002748
